No,pertanyaan,jawaban,,,,
16,Jelaskan pengertian blended learning!,Blended learning adalah metode pembelajaran yang menggabungkan kegiatan tatap muka di kelas dengan pembelajaran daring tanpa mengurangi kualitas pembelajaran;,,,,
16,Blended learning itu maksudnya apa ya?,Blended learning adalah metode pembelajaran yang menggabungkan kegiatan tatap muka di kelas dengan pembelajaran daring tanpa mengurangi kualitas pembelajaran;,,,,
16,Bagaimana konsep pembelajaran blended learning di UNIB?,Blended learning adalah metode pembelajaran yang menggabungkan kegiatan tatap muka di kelas dengan pembelajaran daring tanpa mengurangi kualitas pembelajaran;,,,,
17,Apa saja bentuk mata kuliah alternatif di UNIB?,Bentuk pembelajaran mata kuliah alternatif dapat berupa pertukaran mahasiswa; magang; proyek independen; riset; atau kegiatan lain yang ditetapkan oleh program studi;,,,,
17,Jelaskan contoh bentuk mata kuliah alternatif!,Bentuk pembelajaran mata kuliah alternatif dapat berupa pertukaran mahasiswa; magang; proyek independen; riset; atau kegiatan lain yang ditetapkan oleh program studi;,,,,
17,Bentuk mata kuliah alternatif itu apa aja sih?,Bentuk pembelajaran mata kuliah alternatif dapat berupa pertukaran mahasiswa; magang; proyek independen; riset; atau kegiatan lain yang ditetapkan oleh program studi;,,,,
17,Mahasiswa bisa ambil kegiatan apa sebagai mata kuliah alternatif?,Bentuk pembelajaran mata kuliah alternatif dapat berupa pertukaran mahasiswa; magang; proyek independen; riset; atau kegiatan lain yang ditetapkan oleh program studi;,,,,
18,Berapa lama satu SKS pada pembelajaran berupa kuliah?,Satu SKS pada perkuliahan terdiri dari 50 menit tatap muka; 60 menit kegiatan terstruktur; dan 60 menit kegiatan mandiri setiap minggu selama satu semester;,,,,
18,Jelaskan berapa waktu untuk 1 SKS kuliah!,Satu SKS pada perkuliahan terdiri dari 50 menit tatap muka; 60 menit kegiatan terstruktur; dan 60 menit kegiatan mandiri setiap minggu selama satu semester;,,,,
18,Satu SKS kuliah itu berapa jam?,Satu SKS pada perkuliahan terdiri dari 50 menit tatap muka; 60 menit kegiatan terstruktur; dan 60 menit kegiatan mandiri setiap minggu selama satu semester;,,,,
18,Dalam seminggu berapa lama durasi satu SKS kuliah?,Satu SKS pada perkuliahan terdiri dari 50 menit tatap muka; 60 menit kegiatan terstruktur; dan 60 menit kegiatan mandiri setiap minggu selama satu semester;,,,,
19,Berapa lama satu SKS pada pembelajaran praktikum?,Satu SKS pada praktikum atau kerja lapangan setara dengan 170 menit kegiatan setiap minggu selama satu semester;,,,,
19,Jelaskan berapa waktu satu SKS praktikum!,Satu SKS pada praktikum atau kerja lapangan setara dengan 170 menit kegiatan setiap minggu selama satu semester;,,,,
19,Satu SKS praktikum itu berapa jam per minggu?,Satu SKS pada praktikum atau kerja lapangan setara dengan 170 menit kegiatan setiap minggu selama satu semester;,,,,
19,Apa perbedaan waktu antara SKS kuliah dan praktikum?,Satu SKS pada praktikum atau kerja lapangan setara dengan 170 menit kegiatan setiap minggu selama satu semester;,,,,
20,Apa yang dimaksud dengan beban studi mahasiswa?,Beban studi mahasiswa ditentukan berdasarkan kurikulum program studi dengan jumlah SKS yang dapat diambil disesuaikan dengan IP semester sebelumnya;,,,,
20,Jelaskan pengertian beban studi mahasiswa!,Beban studi mahasiswa ditentukan berdasarkan kurikulum program studi dengan jumlah SKS yang dapat diambil disesuaikan dengan IP semester sebelumnya;,,,,
20,Beban studi itu apa ya maksudnya?,Beban studi mahasiswa ditentukan berdasarkan kurikulum program studi dengan jumlah SKS yang dapat diambil disesuaikan dengan IP semester sebelumnya;,,,,
20,Apa yang memengaruhi jumlah SKS yang bisa diambil mahasiswa?,Beban studi mahasiswa ditentukan berdasarkan kurikulum program studi dengan jumlah SKS yang dapat diambil disesuaikan dengan IP semester sebelumnya;,,,,
21,Berapa lama masa kuliah untuk program vokasi diploma tiga?,Program vokasi Diploma Tiga memiliki beban studi - SKS ditempuh minimal dalam 5 semester dan maksimal 10 semester;,,,,
21,Lama kuliah D3 di UNIB berapa semester?,Program vokasi Diploma Tiga memiliki beban studi - SKS ditempuh minimal dalam 5 semester dan maksimal 10 semester;,,,,
21,Berapa SKS dan durasi studi untuk diploma tiga?,Program vokasi Diploma Tiga memiliki beban studi 108-120 SKS ditempuh minimal dalam 5 semester dan maksimal 10 semester;,,,,
21,Berapa lama waktu penyelesaian kuliah D3?,Program vokasi Diploma Tiga memiliki beban studi 108-120 SKS ditempuh minimal dalam 5 semester dan maksimal 10 semester;,,,,
22,Berapa lama masa kuliah untuk program vokasi diploma empat?,Program vokasi Diploma Empat memiliki beban studi 144-160 SKS ditempuh minimal dalam 7 semester dan maksimal 14 semester;,,,,
22,Lama studi untuk D4 berapa semester?,Program vokasi Diploma Empat memiliki beban studi 144-160 SKS ditempuh minimal dalam 7 semester dan maksimal 14 semester;,,,,
22,Berapa total SKS dan durasi kuliah untuk program D4?,Program vokasi Diploma Empat memiliki beban studi 144-160 SKS ditempuh minimal dalam 7 semester dan maksimal 14 semester;,,,,
22,Butuh waktu berapa lama untuk lulus dari D4?,Program vokasi Diploma Empat memiliki beban studi 144-160 SKS ditempuh minimal dalam 7 semester dan maksimal 14 semester;,,,,
23,Berapa lama masa kuliah untuk program sarjana?,Program sarjana memiliki beban studi 144-160 SKS dan dapat ditempuh dalam waktu minimal 7 semester dan maksimal 14 semester;,,,,
23,Lama studi untuk S1 berapa semester?,Program sarjana memiliki beban studi 144-160 SKS dan dapat ditempuh dalam waktu minimal 7 semester dan maksimal 14 semester;,,,,
23,Berapa total SKS dan durasi kuliah untuk sarjana?,Program sarjana memiliki beban studi 144-160 SKS dan dapat ditempuh dalam waktu minimal 7 semester dan maksimal 14 semester;,,,,
23,Kira kira berapa tahun kuliah S1 di UNIB?,Program sarjana memiliki beban studi 144-160 SKS dan dapat ditempuh dalam waktu minimal 7 semester dan maksimal 14 semester;,,,,
24,Bagaimana jika mahasiswa tidak dapat menyelesaikan studi dalam batas waktu maksimal?,Mahasiswa yang tidak dapat menyelesaikan studinya dalam batas waktu maksimal akan dinyatakan Drop Out (DO) berdasarkan Surat Keputusan Rektor;,,,,
24,Apa yang terjadi kalau mahasiswa melebihi batas waktu kuliah?,Mahasiswa yang tidak dapat menyelesaikan studinya dalam batas waktu maksimal akan dinyatakan Drop Out (DO) berdasarkan Surat Keputusan Rektor;,,,,
24,Jika kuliah lebih dari 14 semester apakah masih bisa lanjut?,Mahasiswa yang tidak dapat menyelesaikan studinya dalam batas waktu maksimal akan dinyatakan Drop Out (DO) berdasarkan Surat Keputusan Rektor;,,,,
24,Apakah mahasiswa bisa DO jika terlalu lama kuliah?,Mahasiswa yang tidak dapat menyelesaikan studinya dalam batas waktu maksimal akan dinyatakan Drop Out (DO) berdasarkan Surat Keputusan Rektor;,,,,
25,Mata kuliah apa yang bisa diakui melalui transfer kredit?,Mata kuliah yang bisa ditransfer adalah yang berasal dari program pertukaran mahasiswa; double degree; joint degree atau bentuk kegiatan lain yang diakui oleh universitas;,,,,
25,Jenis mata kuliah apa yang bisa di transfer?,Mata kuliah yang bisa ditransfer adalah yang berasal dari program pertukaran mahasiswa; double degree; joint degree atau bentuk kegiatan lain yang diakui oleh universitas;,,,,
25,Apa saja kegiatan yang bisa dapat pengakuan transfer kredit?,Mata kuliah yang bisa ditransfer adalah yang berasal dari program pertukaran mahasiswa; double degree; joint degree atau bentuk kegiatan lain yang diakui oleh universitas;,,,,
25,Transfer kredit itu berlaku untuk mata kuliah apa aja?,Mata kuliah yang bisa ditransfer adalah yang berasal dari program pertukaran mahasiswa; double degree; joint degree atau bentuk kegiatan lain yang diakui oleh universitas;,,,,
26,Apa syarat mata kuliah yang bisa di transfer kreditkan?,Mata kuliah yang dapat ditransfer harus memiliki kesetaraan materi mendukung capaian pembelajaran dan berasal dari program studi terakreditasi;,,,,
26,Syarat agar mata kuliah bisa diakui lewat transfer kredit apa aja?,Mata kuliah yang dapat ditransfer harus memiliki kesetaraan materi mendukung capaian pembelajaran dan berasal dari program studi terakreditasi;,,,,
26,Mata kuliah bisa di transfer kalau memenuhi apa?,Mata kuliah yang dapat ditransfer harus memiliki kesetaraan materi mendukung capaian pembelajaran dan berasal dari program studi terakreditasi;,,,,
26,Apa ketentuan transfer kredit di UNIB?,Mata kuliah yang dapat ditransfer harus memiliki kesetaraan materi mendukung capaian pembelajaran dan berasal dari program studi terakreditasi;,,,,
27,Berapa jumlah beban studi yang dapat diakui melalui transfer kredit?,Jumlah SKS yang dapat diakui melalui transfer kredit ditetapkan oleh universitas sesuai kesetaraan capaian pembelajaran;,,,,
27,Maksimal berapa SKS yang bisa ditransfer?,Jumlah SKS yang dapat diakui melalui transfer kredit ditetapkan oleh universitas sesuai kesetaraan capaian pembelajaran;,,,,
27,Berapa banyak SKS yang bisa diakui lewat transfer kredit?,Jumlah SKS yang dapat diakui melalui transfer kredit ditetapkan oleh universitas sesuai kesetaraan capaian pembelajaran;,,,,
27,Siapa yang menentukan jumlah SKS hasil transfer kredit?,Jumlah SKS yang dapat diakui melalui transfer kredit ditetapkan oleh universitas sesuai kesetaraan capaian pembelajaran;,,,,
28,Bagaimana prosedur pendaftaran mahasiswa baru?,Pendaftaran mahasiswa dilakukan sesuai jadwal dan ketentuan yang ditetapkan oleh universitas melalui jalur seleksi nasional atau mandiri;,,,,
28,Bagaimana cara daftar kuliah di UNIB?,Pendaftaran mahasiswa dilakukan sesuai jadwal dan ketentuan yang ditetapkan oleh universitas melalui jalur seleksi nasional atau mandiri;,,,,
28,Lewat mana pendaftaran mahasiswa baru dilakukan?,Pendaftaran mahasiswa dilakukan sesuai jadwal dan ketentuan yang ditetapkan oleh universitas melalui jalur seleksi nasional atau mandiri;,,,,
28,Jalur apa saja yang tersedia untuk mendaftar ke UNIB?,Pendaftaran mahasiswa dilakukan sesuai jadwal dan ketentuan yang ditetapkan oleh universitas melalui jalur seleksi nasional atau mandiri;,,,,
29,Apa yang terjadi jika mahasiswa tidak terdaftar selama satu atau dua semester?,Mahasiswa yang tidak melakukan registrasi selama dua semester berturut-turut tanpa izin akan dinyatakan kehilangan statusnya sebagai mahasiswa aktif;,,,,
29,Bagaimana kalau mahasiswa tidak daftar ulang selama dua semester?,Mahasiswa yang tidak melakukan registrasi selama dua semester berturut-turut tanpa izin akan dinyatakan kehilangan statusnya sebagai mahasiswa aktif;,,,,
29,Apakah status mahasiswa hilang kalau tidak registrasi dua semester?,Mahasiswa yang tidak melakukan registrasi selama dua semester berturut-turut tanpa izin akan dinyatakan kehilangan statusnya sebagai mahasiswa aktif;,,,,
29,Apa akibat tidak registrasi ulang di kampus?,Mahasiswa yang tidak melakukan registrasi selama dua semester berturut-turut tanpa izin akan dinyatakan kehilangan statusnya sebagai mahasiswa aktif;,,,,
30,Apa syarat untuk mengajukan cuti akademik?,Mahasiswa dapat mengajukan cuti akademik dengan surat permohonan yang disetujui oleh Ketua Jurusan/Koordinator Prodi dan Dekan serta disahkan oleh Rektor;,,,,
30,Bagaimana cara mengajukan cuti kuliah di UNIB?,Mahasiswa dapat mengajukan cuti akademik dengan surat permohonan yang disetujui oleh Ketua Jurusan/Koordinator Prodi dan Dekan serta disahkan oleh Rektor;,,,,
30,Syarat mahasiswa untuk bisa cuti kuliah apa aja?,Mahasiswa dapat mengajukan cuti akademik dengan surat permohonan yang disetujui oleh Ketua Jurusan/Koordinator Prodi dan Dekan serta disahkan oleh Rektor;,,,,
30,Apakah mahasiswa bisa cuti lebih dari satu semester?,Mahasiswa dapat mengajukan cuti akademik dengan surat permohonan yang disetujui oleh Ketua Jurusan/Koordinator Prodi dan Dekan serta disahkan oleh Rektor;,,,,
31,Setelah cuti berapa jumlah mata kuliah yang bisa diambil mahasiswa?,Setelah masa cuti berakhir mahasiswa dapat mengambil mata kuliah sesuai beban studi maksimal berdasarkan IPS terakhir sebelum cuti;,,,,
31,Setelah cuti mahasiswa boleh ambil berapa SKS?,Setelah masa cuti berakhir mahasiswa dapat mengambil mata kuliah sesuai beban studi maksimal berdasarkan IPS terakhir sebelum cuti;,,,,
31,Berapa batas SKS setelah mahasiswa kembali dari cuti?,Setelah masa cuti berakhir mahasiswa dapat mengambil mata kuliah sesuai beban studi maksimal berdasarkan IPS terakhir sebelum cuti;,,,,
31,Setelah cuti kuliah apakah beban studi mahasiswa dibatasi?,Setelah masa cuti berakhir mahasiswa dapat mengambil mata kuliah sesuai beban studi maksimal berdasarkan IPS terakhir sebelum cuti;,,,,
32,Apa syarat perpindahan antar program studi di lingkungan UNIB?,Mahasiswa dapat pindah antar program studi dalam lingkungan UNIB dengan alasan akademik atau non-akademik yang dapat dipertanggungjawabkan dan mendapat persetujuan dari pimpinan fakultas terkait;,,,,
32,Bagaimana cara pindah prodi di UNIB?,Mahasiswa dapat pindah antar program studi dalam lingkungan UNIB dengan alasan akademik atau non-akademik yang dapat dipertanggungjawabkan dan mendapat persetujuan dari pimpinan fakultas terkait;,,,,
32,Apa saja ketentuan untuk berpindah program studi?,Mahasiswa dapat pindah antar program studi dalam lingkungan UNIB dengan alasan akademik atau non-akademik yang dapat dipertanggungjawabkan dan mendapat persetujuan dari pimpinan fakultas terkait;,,,,
32,Mahasiswa bisa pindah jurusan nggak sih?,Mahasiswa dapat pindah antar program studi dalam lingkungan UNIB dengan alasan akademik atau non-akademik yang dapat dipertanggungjawabkan dan mendapat persetujuan dari pimpinan fakultas terkait;,,,,
33,Berapa beban SKS yang dapat diambil mahasiswa berdasarkan IPS?,Jumlah SKS yang dapat diambil mahasiswa pada semester berikutnya ditentukan berdasarkan Indeks Prestasi Semester (IPS) sebelumnya sesuai aturan akademik universitas;,,,,
33,Banyaknya SKS tergantung dari apa?,Jumlah SKS yang dapat diambil mahasiswa pada semester berikutnya ditentukan berdasarkan Indeks Prestasi Semester (IPS) sebelumnya sesuai aturan akademik universitas;,,,,
33,Apa hubungan IPS dengan jumlah SKS yang bisa diambil?,Jumlah SKS yang dapat diambil mahasiswa pada semester berikutnya ditentukan berdasarkan Indeks Prestasi Semester (IPS) sebelumnya sesuai aturan akademik universitas;,,,,
33,Bagaimana menentukan jumlah SKS yang boleh diambil mahasiswa?,Jumlah SKS yang dapat diambil mahasiswa pada semester berikutnya ditentukan berdasarkan Indeks Prestasi Semester (IPS) sebelumnya sesuai aturan akademik universitas;,,,,
34,Bagaimana proses pengisian KRS?,Pengisian KRS dilakukan secara daring sesuai jadwal akademik dibimbing dan disetujui oleh dosen pembimbing akademik;,,,,
34,Bagaimana cara isi KRS di UNIB?,Pengisian KRS dilakukan secara daring sesuai jadwal akademik dibimbing dan disetujui oleh dosen pembimbing akademik;,,,,
34,Kapan waktu pengisian KRS dilakukan?,Pengisian KRS dilakukan secara daring sesuai jadwal akademik dibimbing dan disetujui oleh dosen pembimbing akademik;,,,,
34,Siapa yang menyetujui KRS mahasiswa?,Pengisian KRS dilakukan secara daring sesuai jadwal akademik dibimbing dan disetujui oleh dosen pembimbing akademik;,,,,
35,Berapa jumlah SKS untuk mahasiswa semester 1 dan 2?,Pada semester pertama dan kedua jumlah SKS yang diambil mahasiswa mengikuti paket kurikulum yang telah ditentukan oleh program studi;,,,,
35,Mahasiswa semester awal boleh ambil berapa SKS?,Pada semester pertama dan kedua jumlah SKS yang diambil mahasiswa mengikuti paket kurikulum yang telah ditentukan oleh program studi;,,,,
35,Kenapa SKS semester 1 dan 2 itu sudah ditentukan?,Pada semester pertama dan kedua jumlah SKS yang diambil mahasiswa mengikuti paket kurikulum yang telah ditentukan oleh program studi;,,,,
35,Apakah mahasiswa baru boleh ubah paket SKS semester pertama?,Pada semester pertama dan kedua jumlah SKS yang diambil mahasiswa mengikuti paket kurikulum yang telah ditentukan oleh program studi;,,,,
36,Bagaimana jika dosen pembimbing akademik tidak bisa menyetujui KRS?,Jika dosen pembimbing akademik berhalangan persetujuan KRS dapat diberikan oleh pejabat yang ditunjuk oleh Ketua Jurusan atau Koordinator Program Studi;,,,,
36,Kalau dosen PA nggak bisa tanda tangan KRS gimana?,Jika dosen pembimbing akademik berhalangan persetujuan KRS dapat diberikan oleh pejabat yang ditunjuk oleh Ketua Jurusan atau Koordinator Program Studi;,,,,
36,Siapa yang bisa menyetujui KRS kalau PA berhalangan?,Jika dosen pembimbing akademik berhalangan persetujuan KRS dapat diberikan oleh pejabat yang ditunjuk oleh Ketua Jurusan atau Koordinator Program Studi;,,,,
